0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:49:24 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:52:37 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:52:56 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:53:51 +0530] "GET /hcl-project/catalog.html HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:54:11 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:55:35 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:55:54 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:58:00 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:58:38 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:59:10 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [23/Jan/2018:14:59:23 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:01:11 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:03:26 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:04:00 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:04:15 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:05:31 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:06:23 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:06:55 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:08:19 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:08:43 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:09:19 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:10:08 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:10:35 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:11:33 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:11:52 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:15:59 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:17:42 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:22:23 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:23:39 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2686
